Step,Path1,Path2,Path3,Path4,Path5,Barrier,Strike
140,80.941,107.666,75.2762,93.74,97.1823,120,100
141,82.623,106.868,74.8748,94.4659,97.9681,120,100
142,84.3809,108.08,73.7896,95.8744,97.9108,120,100
143,84.5897,110.554,74.8227,94.7034,96.6168,120,100
144,83.4288,109.966,72.7018,93.596,97.6451,120,100
145,82.3944,110.776,72.1043,93.4067,98.7573,120,100
146,82.8476,110.569,72.893,93.218,99.2507,120,100
147,85.1315,111.656,73.2002,93.7242,99.6521,120,100
148,86.7126,113.84,73.3475,93.7533,100.558,120,100
149,84.0737,113.444,74.6409,92.9978,100.953,120,100
150,82.9658,111.166,76.6944,95.2884,101.121,120,100
151,82.8724,113.547,75.4584,94.0131,99.5117,120,100
152,80.7443,112.434,76.8034,94.5592,99.5843,120,100
153,81.0292,111.324,76.6875,94.3316,98.3431,120,100
154,79.7305,110.348,77.1078,93.6601,98.8677,120,100
155,79.8681,110.046,75.2488,96.427,98.8602,120,100
156,80.0085,108.355,74.1843,95.1399,97.1264,120,100
157,79.6193,108.156,73.4677,95.0648,97.794,120,100
158,80.8782,109.067,73.857,94.8926,97.8287,120,100
159,79.8325,106.276,74.9888,95.5772,99.176,120,100
160,80.11,105.249,75.3137,96.5339,101.63,120,100
161,80.446,105.668,77.0175,97.1256,104.666,120,100
162,79.9533,103.186,75.8393,94.8386,102.256,120,100
163,80.5505,103.412,76.5616,94.3381,103.341,120,100
164,80.966,102.29,75.6822,93.5914,104.511,120,100
165,81.5161,101.21,75.71,92.387,103.192,120,100
166,80.912,99.3585,75.1515,90.0703,105.168,120,100
167,81.0768,98.7909,75.2719,91.0151,107.243,120,100
168,83.2523,97.8785,75.3071,88.9245,107.543,120,100
169,83.029,96.7749,76.5091,89.8301,108.082,120,100
170,83.2091,97.2685,76.7393,91.2751,106.281,120,100
171,83.865,95.7305,77.0029,90.7145,107.748,120,100
172,83.8656,95.0146,76.5612,92.2173,107.507,120,100
173,84.3238,94.0785,77.0532,93.1011,107.422,120,100
174,83.8497,93.8452,76.8821,93.4562,108.072,120,100
175,85.1354,90.9825,77.8162,94.3799,107.852,120,100
176,85.2223,91.7619,79.7226,94.4861,104.945,120,100
177,85.6046,93.0826,78.0263,95.8794,102.805,120,100
178,84.6519,94.3496,78.6034,98.0781,101.916,120,100
179,82.8212,94.1821,76.8822,96.1996,100.522,120,100
180,82.1685,92.5962,76.0782,96.6779,100.568,120,100
181,83.0094,93.8629,76.9168,96.5943,100.739,120,100
182,83.1236,95.7188,78.1978,95.8874,98.786,120,100
183,82.7608,95.4127,79.0617,97.0759,97.7177,120,100
184,81.0812,96.5216,78.8929,97.372,98.2467,120,100
185,81.2664,96.8312,78.6456,98.7493,99.4968,120,100
186,80.4772,96.5078,76.7702,99.0371,99.8947,120,100
187,80.7217,95.1942,77.8425,98.7649,99.8708,120,100
188,80.8492,94.9236,77.848,98.5537,99.595,120,100
189,81.135,95.2442,77.6051,97.4828,99.2817,120,100
190,82.626,97.0293,77.1351,97.4809,99.5357,120,100
191,84.1769,97.4283,77.3558,98.0481,101.922,120,100
192,81.8978,95.3621,78.0488,98.5039,104.592,120,100
193,81.9245,96.3289,77.4271,98.5728,105.091,120,100
194,82.3652,95.6183,77.5497,98.8178,103.694,120,100
195,83.8023,94.9302,77.5365,98.6135,102.887,120,100
196,84.2604,95.5382,78.6454,101.043,100.331,120,100
197,85.7358,95.0189,78.7698,102.74,100.616,120,100
198,87.0447,93.2025,78.2467,103.599,101.677,120,100
199,87.5008,93.9354,77.7711,105.34,98.6035,120,100
200,87.4648,93.23,78.2172,106.13,100.597,120,100
201,85.3977,93.5526,79.8872,108.411,101.785,120,100
202,85.9473,94.0217,77.5536,106.007,102.617,120,100
